DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-04 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1528.08	2022-03-05 01:16:24
2022-03-04 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1571.66	2022-03-05 00:16:12
2022-03-01 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1758.82	2022-03-01 07:16:25
2022-03-01 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1642.06	2022-03-01 07:16:25
2022-03-01 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1507.46	2022-03-01 05:16:16
2022-03-01 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1460.56	2022-03-01 04:16:49
2022-03-01 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1402.66	2022-03-01 03:16:20
2022-03-01 15:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2027.07	2022-03-01 18:16:19
2022-03-01 14:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2056.18	2022-03-01 17:16:17
2022-03-01 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1943.88	2022-03-01 16:16:16
2022-03-01 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1955.21	2022-03-01 16:16:17
2022-03-01 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1988.76	2022-03-01 14:16:17
2022-03-01 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1931.91	2022-03-01 13:16:21
2022-03-01 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1946.71	2022-03-01 13:16:21
2022-03-01 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2010.35	2022-03-01 13:16:21
2022-03-01 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1965.71	2022-03-01 13:16:21
2022-03-01 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1962.8	2022-03-01 09:16:22
2022-03-01 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1911.65	2022-03-01 08:17:55
2022-03-02 16:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1996.01	2022-03-02 19:16:07
2022-03-02 15:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2000.24	2022-03-02 18:16:07
2022-03-02 14:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2038.77	2022-03-02 18:16:07
2022-03-02 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1957.32	2022-03-02 16:16:16
2022-03-02 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1950.77	2022-03-02 15:16:07
2022-03-02 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1911.68	2022-03-02 14:16:16
2022-03-02 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1909.65	2022-03-02 14:16:16
2022-03-02 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2026.86	2022-03-02 12:16:13
2022-03-02 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2015.38	2022-03-02 11:16:24
2022-03-02 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2044.3	2022-03-02 10:16:26
2022-03-02 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2062.37	2022-03-02 09:16:25
2022-03-02 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2020.04	2022-03-02 09:16:25
2022-03-02 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1839.01	2022-03-02 07:16:20
2022-03-02 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1710.38	2022-03-02 06:16:14
2022-03-02 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1542.83	2022-03-02 05:16:15
2022-03-02 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1546.24	2022-03-02 04:16:14
2022-03-02 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1465.47	2022-03-02 02:16:15
2022-03-01 23:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1462.49	2022-03-02 02:16:15
2022-03-01 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1515.17	2022-03-02 01:16:14
2022-03-01 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1535.48	2022-03-02 00:16:20
2022-03-01 20:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1651.58	2022-03-01 23:16:21
2022-03-01 19:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1757.34	2022-03-01 21:16:07
2022-03-01 18:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1870.12	2022-03-01 21:16:07
2022-03-01 17:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1969.57	2022-03-01 20:16:17
2022-03-01 16:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1999.79	2022-03-01 19:16:18
